,Unnamed: 0,SEXO,EDAD,CH07,CH15,NIVEL_ED,ESTADO,AM01,V1,V2,V3,IX_TOT,ESTRATO_HOGAR,IPCF
3394,3394,1,71,2,3,1,3,1,1,1,2,4,3,600.0
3395,3395,2,91,4,2,2,3,2,2,1,2,4,3,1045.0
3396,3396,2,73,3,1,4,3,2,1,1,2,3,3,3716.666748046875
3397,3397,2,63,2,1,1,3,1,1,1,2,2,2,1735.0
3398,3398,1,67,2,1,1,1,1,1,1,2,2,2,1735.0
3399,3399,1,80,2,2,1,3,2,1,1,2,3,3,1433.3333740234375
3400,3400,2,83,4,1,2,3,2,2,1,2,1,1,5200.0
3401,3401,2,74,2,1,3,3,1,2,1,2,2,2,1650.0
3402,3402,1,78,2,2,1,3,1,1,1,2,4,3,2227.5
3403,3403,2,78,4,1,2,3,2,1,1,2,2,3,3550.0
3404,3404,2,71,5,1,4,3,1,1,1,2,3,3,2766.666748046875
3405,3405,2,72,2,1,1,3,1,1,1,2,4,3,2227.5
3406,3406,2,86,3,2,7,3,2,2,1,2,1,1,2400.0
3407,3407,2,77,4,1,2,3,2,2,1,2,1,1,3400.0
3408,3408,2,68,5,1,2,3,1,1,1,2,4,3,637.5
3409,3409,2,88,4,2,1,3,2,2,1,2,1,1,2500.0
3410,3410,2,72,4,1,3,3,2,1,1,2,5,3,1600.0
3411,3411,2,83,5,1,2,3,2,1,1,2,4,3,950.0
3412,3412,1,62,1,1,3,1,1,1,1,2,4,3,950.0
3413,3413,1,73,1,2,1,3,2,1,1,2,4,3,1270.0
3414,3414,1,62,5,2,1,3,1,2,1,2,1,1,1800.0
3415,3415,2,89,4,1,6,3,1,2,1,2,1,1,2400.0
3416,3416,2,86,4,1,2,3,1,2,1,2,1,1,1600.0
3417,3417,2,71,5,1,2,3,1,2,1,2,1,1,1250.0
3418,3418,1,67,2,3,1,3,1,2,1,2,2,3,800.0
3419,3419,2,63,4,3,1,3,1,1,1,2,2,3,875.0
3420,3420,2,81,2,1,7,3,2,2,1,2,2,2,1600.0
3421,3421,1,77,2,3,2,3,1,2,1,2,2,2,1600.0
3422,3422,2,88,4,1,7,3,1,2,1,2,1,1,2000.0
3423,3423,1,77,2,2,2,3,1,1,1,2,3,3,1900.0
3424,3424,2,69,4,1,2,3,1,1,1,2,1,1,2100.0
3425,3425,2,63,2,1,2,3,1,1,1,2,3,3,5300.0
3426,3426,1,63,2,1,2,1,1,1,1,2,3,3,5300.0
3427,3427,2,73,4,1,6,3,2,2,1,2,1,1,3200.0
3428,3428,2,72,4,1,4,3,1,1,1,2,2,3,4700.0
3429,3429,2,84,4,2,1,3,1,2,1,2,2,2,2700.0
3430,3430,2,70,5,2,7,3,1,2,1,2,2,2,2700.0
3431,3431,1,73,2,3,4,3,1,2,1,2,2,2,2100.0
3432,3432,2,65,2,3,4,3,1,2,1,2,2,2,2100.0
3433,3433,2,79,4,1,1,3,1,2,1,2,1,1,1900.0
3434,3434,2,62,4,2,2,1,1,1,1,2,1,1,3600.0
3435,3435,1,72,4,1,6,3,2,1,1,2,4,3,1600.0
3436,3436,1,65,5,4,2,1,2,1,2,2,1,1,2000.0
3437,3437,1,65,2,1,1,1,1,1,1,2,5,3,860.0
3438,3438,1,80,4,1,2,3,2,2,1,2,2,3,1550.0
3439,3439,2,82,4,3,1,3,1,1,1,2,5,3,850.0
3440,3440,1,83,5,2,1,3,1,2,1,2,1,1,1800.0
3441,3441,1,60,1,1,7,3,2,1,2,2,9,3,1329.5555419921875
3442,3442,2,63,2,1,7,3,1,1,2,2,2,3,3500.0
3443,3443,1,70,2,2,2,3,1,1,1,2,3,3,1806.6666259765625
3444,3444,1,66,2,1,1,3,1,1,1,2,6,3,800.0
3445,3445,2,64,2,1,1,3,1,1,1,2,6,3,800.0
3446,3446,1,70,2,3,2,1,2,1,1,2,5,3,2860.0
3447,3447,2,61,2,1,4,3,2,1,1,2,4,3,4025.0
3448,3448,1,82,2,4,2,3,1,1,1,2,3,3,1700.0
3449,3449,2,77,2,2,2,3,1,1,1,2,3,3,1700.0
3450,3450,2,81,4,2,7,3,1,1,1,2,2,3,1525.0
3451,3451,2,64,2,2,2,3,1,2,1,2,2,2,4200.0
3452,3452,1,69,2,2,2,3,1,2,1,2,2,2,4200.0
3453,3453,2,62,3,1,4,1,1,1,2,2,1,1,1200.0
3454,3454,2,65,4,1,4,1,1,1,1,2,2,3,4000.0
3455,3455,2,71,2,1,1,3,1,1,1,2,5,3,1200.0
3456,3456,2,73,2,2,1,3,1,2,1,2,2,2,1340.0
3457,3457,1,74,2,2,1,3,2,2,1,2,2,2,1340.0
3458,3458,1,62,1,1,2,1,1,1,2,2,4,3,830.0
