,SEXO,EDAD,CH07,CH15,NIVEL_ED,ESTADO,AM01,V1,V2,V3,IX_TOT,ESTRATO_HOGAR,IPCF
905,2,76,4,1,3,3,2,2,1,2,1,1,10300.0
906,2,63,2,1,2,3,1,2,1,2,5,3,480.0
907,1,72,2,1,2,3,2,2,1,2,5,3,480.0
908,1,68,1,2,2,3,2,2,1,2,2,3,2300.0
909,1,61,1,3,1,1,2,1,1,2,2,2,2000.0
910,2,63,2,1,4,3,1,2,1,2,2,2,3500.0
911,2,81,2,2,1,3,2,2,1,2,2,2,2475.0
912,1,67,2,2,2,3,2,2,1,2,2,2,3500.0
913,1,82,2,2,1,3,1,2,1,2,3,3,2133.333251953125
914,1,66,2,1,3,3,1,2,1,2,2,2,2650.0
915,2,76,2,2,1,3,1,2,1,2,2,2,2250.0
916,2,70,2,3,4,3,1,2,1,2,3,3,1783.3333740234375
917,1,62,2,2,4,3,1,1,1,2,2,2,1750.0
918,1,83,2,2,1,3,2,2,1,2,2,2,2250.0
919,2,77,4,1,2,3,2,2,1,2,1,1,1600.0
920,2,63,2,2,6,1,1,1,1,2,2,2,1750.0
921,2,73,2,2,1,3,1,2,1,2,3,3,2133.333251953125
922,1,70,5,1,2,3,1,2,1,2,1,1,1200.0
923,2,61,2,2,4,3,1,2,1,2,2,2,2650.0
924,1,85,2,2,1,3,1,2,1,2,2,2,2475.0
925,2,67,2,1,2,3,2,2,1,2,2,2,1600.0
926,1,73,2,3,4,3,1,2,1,2,3,3,1783.3333740234375
927,2,74,1,1,1,3,1,2,1,2,3,3,566.6666870117188
928,2,70,1,2,1,3,1,1,1,2,2,2,1300.0
929,2,82,4,1,1,3,1,2,1,2,1,1,2200.0
930,1,65,1,2,1,1,1,1,1,2,2,2,1300.0
931,1,75,2,1,2,3,1,1,1,2,8,3,783.0
932,2,74,2,1,1,3,1,1,1,2,8,3,783.0
933,2,83,4,1,2,3,1,1,1,2,3,3,766.6666870117188
934,1,82,4,3,2,3,1,1,1,2,4,3,675.0
935,1,68,2,1,1,3,1,2,1,2,2,2,1700.0
936,2,65,3,1,1,3,1,2,1,2,3,3,800.0
937,2,65,1,3,3,3,1,1,1,2,2,3,2200.0
938,2,72,5,1,2,3,1,2,1,2,2,2,1400.0
939,2,90,4,1,1,3,1,2,1,2,2,2,1400.0
940,2,96,5,2,2,3,1,1,1,2,3,3,766.6666870117188
941,2,66,2,3,1,3,1,2,1,2,2,2,1700.0
942,2,68,2,1,2,3,1,1,1,2,3,3,3400.0
943,2,91,4,3,2,3,1,1,1,2,4,3,2875.0
944,2,65,2,2,2,3,2,1,1,2,7,3,831.4285888671875
945,2,79,4,1,1,3,1,1,1,2,8,3,812.5
946,2,92,5,1,2,3,1,1,1,2,3,3,2600.0
947,1,76,2,1,2,3,2,1,1,2,3,3,3400.0
948,1,88,3,4,7,3,2,1,1,2,2,3,1400.0
949,2,86,4,1,2,3,1,2,1,2,1,1,2500.0
950,1,70,3,3,2,3,1,2,1,2,1,1,1370.0
951,2,77,2,4,2,3,1,1,1,2,3,3,2300.0
952,2,75,4,2,2,3,1,2,1,2,1,1,3000.0
953,2,69,2,2,3,3,1,1,1,2,3,3,2166.666748046875
954,1,70,2,1,3,1,2,1,1,2,3,3,2166.666748046875
955,1,66,2,2,3,3,2,2,1,2,2,2,3200.0
956,2,70,4,3,6,3,1,1,1,2,5,3,1500.0
957,2,61,2,2,6,3,1,2,1,2,2,2,3200.0
958,1,72,4,2,1,3,2,2,1,2,1,1,1880.0
959,1,80,2,3,4,3,1,2,1,2,2,2,2500.0
960,2,68,4,1,6,3,2,2,1,2,1,1,8000.0
961,2,69,4,1,1,3,1,1,1,2,2,3,5250.0
962,2,77,2,3,6,3,1,2,1,2,2,2,2500.0
963,2,80,4,2,7,3,2,2,1,2,1,1,2100.0
964,2,79,4,2,2,3,1,1,1,2,5,3,1800.0
965,1,69,1,1,7,3,2,2,1,2,3,3,933.3333129882812
966,1,62,2,3,2,1,1,1,2,2,4,3,6250.0
967,1,60,2,1,2,1,2,1,2,2,3,3,3483.333251953125
968,1,71,4,1,1,3,2,2,1,2,1,1,1500.0
969,1,81,4,1,7,3,1,2,1,2,1,1,1600.0
970,2,74,2,1,1,3,2,2,1,2,2,2,1900.0
971,1,80,2,2,2,3,2,2,1,2,2,2,1900.0
972,2,68,3,2,7,3,2,2,1,2,3,3,366.6666564941406
973,2,71,4,2,1,3,1,2,1,2,1,1,4400.0
974,1,74,1,3,2,1,1,2,1,2,2,2,2347.5
975,2,84,4,2,1,3,2,2,1,2,1,1,2500.0
976,2,80,1,1,2,3,1,2,1,2,2,2,2347.5
977,2,83,4,2,1,3,1,2,1,2,1,1,3000.0
978,1,79,4,1,2,3,1,2,1,2,1,1,1800.0
979,2,80,4,4,7,3,1,2,1,2,1,1,4300.0
980,2,62,4,2,2,1,1,1,1,2,4,3,700.0
981,1,71,1,3,1,3,2,1,1,2,5,3,3940.0
982,2,64,1,3,2,3,2,1,1,2,5,3,3940.0
983,1,63,1,1,3,1,2,2,1,2,2,3,5000.0
984,2,77,5,4,2,3,1,1,2,2,4,3,875.0
985,2,69,5,1,5,3,1,1,1,2,4,3,2000.0
986,2,64,2,3,4,3,1,2,1,2,2,2,3600.0
987,1,61,4,1,4,3,2,2,1,2,3,3,1066.6666259765623
988,2,85,3,1,1,3,1,2,1,2,2,2,3100.0
989,2,61,2,2,7,3,1,1,1,2,2,2,9400.0
990,1,67,2,1,1,3,1,2,1,2,2,2,1500.0
991,1,76,2,1,2,3,1,2,1,2,2,2,3600.0
992,1,77,2,2,1,3,2,2,1,2,2,3,850.0
993,2,73,4,2,1,3,1,1,1,2,1,1,1000.0
994,2,64,2,1,1,3,1,2,1,2,2,2,1500.0
995,1,61,2,2,1,1,1,1,2,2,6,3,773.3333129882812
996,2,72,4,1,1,3,2,1,1,2,5,3,400.0
997,1,64,2,3,7,1,2,1,1,2,2,2,9400.0
998,1,63,5,1,2,3,2,2,1,2,2,2,3100.0
999,2,64,5,1,2,3,1,2,1,2,1,1,1480.0
1000,2,86,4,1,2,3,1,2,1,2,1,1,4500.0
1001,2,83,4,2,4,3,2,2,1,2,1,1,2000.0
1002,2,88,5,3,4,3,1,2,1,2,1,1,5500.0
1003,2,69,4,1,1,3,1,2,1,2,1,1,3000.0
1004,2,83,4,1,4,3,1,2,1,2,1,1,9500.0
1005,2,63,2,2,1,3,2,1,1,2,3,3,3333.333251953125
1006,2,70,4,2,4,3,1,2,1,2,2,3,1950.0
1007,1,70,2,1,2,3,2,1,1,2,3,3,3333.333251953125
1008,2,67,5,3,1,3,1,2,1,2,1,1,1950.0
1009,2,63,3,3,2,3,1,2,1,2,4,3,275.0
1010,2,82,4,3,4,3,1,1,1,2,2,3,2800.0
1011,1,63,2,1,1,3,2,1,1,2,6,3,533.3333129882811
1012,2,72,4,1,4,3,2,2,1,2,1,1,3850.0
1013,2,61,2,2,2,3,1,2,1,2,2,2,1150.0
1014,2,71,4,3,4,3,1,2,1,2,2,3,5750.0
1015,1,67,5,1,2,3,1,2,2,2,6,3,550.0
1016,2,65,2,2,2,3,2,2,1,2,2,2,1350.0
1017,2,82,4,2,2,3,2,2,1,2,1,1,10000.0
1018,1,66,3,3,2,3,1,2,1,2,1,1,1400.0
1019,1,66,2,3,2,3,2,2,1,2,2,2,4000.0
1020,2,76,4,1,5,3,2,2,1,2,1,1,7800.0
1021,2,79,2,3,2,3,1,2,1,2,2,2,1615.0
1022,2,69,4,1,1,3,1,2,1,2,1,1,1500.0
1023,1,85,2,3,1,3,2,2,1,2,2,2,1615.0
1024,1,62,2,1,1,1,1,1,1,2,3,3,3300.0
1025,2,76,4,3,4,3,1,2,1,2,1,1,0.0
1026,2,80,4,1,1,1,1,1,1,2,1,1,3307.0
1027,2,61,4,2,4,1,2,1,1,2,1,1,6000.0
1028,1,62,1,2,2,3,2,1,1,2,6,3,683.3333129882812
1029,2,80,4,2,2,3,2,2,1,2,1,1,5200.0
1030,2,80,4,1,2,3,2,2,1,2,1,1,4800.0
1031,1,72,2,5,2,1,1,1,1,2,2,2,4400.0
1032,2,79,4,2,2,3,1,1,1,2,4,3,1800.0
1033,1,67,3,1,1,3,1,2,1,2,1,1,2280.0
1034,1,68,1,1,1,3,2,2,1,2,2,2,2150.0
1035,1,65,2,1,1,1,1,1,1,2,3,3,1633.3333740234375
1036,1,79,1,1,1,3,1,1,1,2,3,3,2583.333251953125
1037,2,64,1,3,1,3,2,2,1,2,2,2,2150.0
1038,2,61,2,1,7,3,2,1,1,2,3,3,1633.3333740234375
1039,2,75,4,2,2,3,1,1,1,2,2,3,1567.5
1040,2,68,4,4,1,3,1,1,1,2,2,3,1000.0
1041,1,78,5,1,2,3,2,2,1,2,1,1,2500.0
1042,1,68,3,3,4,1,1,1,1,2,1,1,28500.0
1043,2,77,4,4,7,3,2,1,1,2,5,3,1243.199951171875
1044,1,71,2,1,4,3,2,1,1,2,5,3,520.0
1045,2,79,4,1,1,3,1,1,1,2,6,3,842.5
1046,2,89,4,1,2,3,1,2,1,2,1,1,2920.0
1047,1,66,1,4,7,1,2,1,1,2,3,3,1133.3333740234375
1048,2,89,2,3,2,3,1,2,1,2,3,3,2166.666748046875
1049,2,73,4,1,4,3,1,1,1,2,2,3,2650.0
1050,1,63,2,2,2,1,2,1,1,2,6,3,683.3333129882812
1051,2,69,1,2,2,3,2,1,1,2,6,3,683.3333129882812
1052,2,81,4,1,2,3,2,1,1,2,4,3,1725.0
1053,2,65,4,3,1,1,1,1,1,2,4,3,890.0
1054,2,79,4,3,1,3,1,1,1,2,2,3,2250.0
1055,2,62,4,1,2,1,2,1,1,2,3,3,1483.3333740234375
1056,2,70,5,1,4,3,1,1,1,2,3,3,2883.333251953125
1057,1,77,4,3,2,3,2,1,1,2,2,3,6050.0
1058,1,60,2,1,7,3,1,1,1,2,6,3,633.3333129882812
1059,2,60,1,2,1,1,1,1,1,2,6,3,1250.0
1060,2,64,1,2,1,3,2,1,1,2,6,3,766.6666870117188
1061,1,75,1,1,1,3,2,1,1,2,6,3,766.6666870117188
1062,2,72,2,3,2,3,1,2,1,2,2,2,3000.0
1063,1,74,2,3,2,3,1,2,1,2,2,2,3000.0
1064,1,63,2,2,2,1,1,2,2,2,4,3,1500.0
1065,2,62,2,3,6,1,2,1,2,2,2,2,3500.0
1066,1,70,3,1,2,1,2,1,2,2,1,1,2800.0
1067,1,63,2,3,2,1,2,1,2,2,2,2,3500.0
1068,1,64,1,3,1,3,2,2,1,2,2,2,800.0
1069,2,60,1,3,1,3,1,2,1,2,2,2,800.0
1070,1,60,5,1,4,3,2,2,1,2,1,1,1200.0
1071,2,71,4,1,4,3,1,1,1,2,4,3,1400.0
1072,1,77,5,2,7,3,2,2,1,2,1,1,1695.0
1073,1,64,2,2,3,3,2,1,1,2,2,3,800.0
1074,2,75,4,3,2,3,1,2,1,2,1,1,1600.0
1075,2,73,4,1,4,3,1,2,1,2,1,1,3750.0
1076,1,64,2,1,4,3,2,2,2,1,2,3,2000.0
1077,2,68,5,1,2,3,1,1,2,2,2,3,750.0
1078,1,70,2,3,4,3,2,2,1,2,4,3,1075.0
1079,2,87,4,2,1,3,1,2,1,2,1,1,1200.0
1080,2,87,4,1,1,3,1,2,1,2,1,1,1600.0
1081,2,71,4,4,1,1,1,1,1,2,3,3,2533.333251953125
1082,2,72,4,1,7,3,2,1,1,2,7,3,454.2857055664063
1083,2,67,3,2,1,3,1,2,1,1,4,3,4300.0
1084,1,62,2,1,2,3,2,2,1,2,3,3,533.3333129882811
1085,2,70,4,1,1,3,1,1,1,2,2,3,1700.0
1086,1,65,2,1,5,1,2,1,1,2,2,2,3287.5
1087,2,66,2,1,4,3,2,1,1,2,2,2,3287.5
1088,1,78,5,4,2,3,2,1,1,2,5,3,3380.0
1089,2,63,3,2,1,3,2,1,1,2,5,3,1068.0
1090,2,71,4,1,4,3,2,2,1,2,1,1,6000.0
1091,1,73,2,3,6,1,2,1,1,2,2,2,8600.0
1092,2,66,2,2,6,3,1,1,1,2,2,2,8600.0
1093,1,74,4,3,1,3,1,2,1,2,3,3,1333.3333740234375
1094,2,77,5,1,2,3,1,1,1,2,4,3,1400.0
1095,2,64,4,1,2,3,1,2,1,2,4,3,575.0
1096,2,81,4,3,2,3,2,2,1,2,3,3,666.6666870117188
1097,1,74,4,4,1,3,1,1,1,2,3,3,1400.0
1098,2,69,2,1,3,3,2,1,1,2,3,3,286.6666564941406
1099,2,64,2,3,4,3,1,2,1,2,2,2,5000.0
1100,2,79,4,4,1,3,1,2,1,2,1,1,1600.0
1101,1,63,2,1,3,1,2,1,1,2,3,3,286.6666564941406
1102,2,62,4,2,1,1,1,1,1,2,3,3,1261.6666259765625
1103,1,75,1,2,1,3,1,2,1,2,3,3,566.6666870117188
1104,2,75,2,1,2,3,1,1,1,2,8,3,2071.5
1105,2,69,1,1,7,3,2,2,1,2,2,2,1300.0
1106,1,84,2,4,2,3,1,1,1,2,8,3,2071.5
1107,2,66,2,2,2,1,1,1,1,2,2,3,2800.0
1108,2,61,5,3,7,3,1,1,1,2,7,3,980.0
1109,1,72,4,1,1,3,2,1,1,2,6,3,333.3333435058594
1110,1,61,3,2,2,3,1,2,2,2,1,1,1200.0
1111,1,72,4,1,2,3,1,2,1,2,1,1,1600.0
1112,1,61,2,1,1,1,2,1,1,2,6,3,2126.666748046875
1113,2,80,2,1,2,3,1,2,1,2,4,3,1920.0
1114,1,83,2,1,2,3,1,2,1,2,4,3,1920.0
1115,2,78,4,1,2,3,1,2,1,2,1,1,2000.0
1116,1,74,5,2,1,3,1,2,1,2,1,1,2900.0
1117,1,75,3,1,2,3,1,2,1,2,1,1,3900.0
1118,2,80,4,1,7,3,1,2,1,2,3,3,1033.3333740234377
1119,2,78,4,1,2,3,1,2,1,2,1,1,1700.0
1120,2,77,4,1,1,3,1,1,1,2,4,3,1050.0
1121,1,84,4,1,1,3,2,1,1,2,5,3,640.0
1122,1,81,4,3,1,3,1,1,1,2,5,3,880.0
